config,path,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,hash
default,baseline,0.589857,0.579358,0.650478,0.736928,0.0302153,0.567868,0.736928,906293701
default,visbuffer,0.692152,0.678267,0.758577,1.04266,0.055046,0.662538,1.04266,906293701
