config,path,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,hash
default,baseline,0.414327,0.405279,0.469028,0.492569,0.027307,0.382988,0.492569,2236050885
default,visbuffer,0.424833,0.405549,0.524118,0.565988,0.0472722,0.381259,0.565988,2236050885
