config,path,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,hash
default,baseline,0.380221,0.337218,0.476859,1.64381,0.188184,0.292079,1.64381,624170181
default,visbuffer,0.30607,0.300479,0.356998,0.409198,0.0280265,0.247859,0.409198,624170181
