config,path,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,hash
default,baseline,0.503553,0.490989,0.593677,0.654138,0.0380746,0.472088,0.654138,906293701
default,visbuffer,0.676738,0.668337,0.753327,0.820357,0.0334773,0.645317,0.820357,906293701
