config,path,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,hash
default,baseline,0.337139,0.329219,0.376629,0.431648,0.0233391,0.318269,0.431648,624170181
default,visbuffer,0.300671,0.291409,0.370129,0.444438,0.0340494,0.275639,0.444438,624170181
