config,path,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,hash
default,baseline,0.262211,0.236249,0.369079,0.681457,0.0724224,0.224019,0.681457,624170181
default,visbuffer,0.282046,0.272589,0.347648,0.400718,0.0299282,0.255439,0.400718,624170181
