Strategy,Scenario,Seed,SurvivalRate,AvgStabilizationTime,AvgCureTime,AvgRoutingLatencyNs
C_BleedOutUrgency,mass_casualty,105,0,2391.65,0,5497.19
C_BleedOutUrgency,extreme_surge,101,0,2876.55,0,5351.16
C_BleedOutUrgency,extreme_surge,102,0.22818,4542.54,4519.76,5446.06
C_BleedOutUrgency,extreme_surge,103,0,3046.53,0,5585.58
C_BleedOutUrgency,extreme_surge,104,0,4125.25,0,5444.82
C_BleedOutUrgency,extreme_surge,105,0,2626,0,5940.81
D_DynamicRouting_Dijkstra,low_intensity,101,10.2564,10387,3026.47,4658.16
D_DynamicRouting_Dijkstra,low_intensity,102,11.1111,10908.2,3270.28,5046.82
D_DynamicRouting_Dijkstra,low_intensity,103,10.6061,13564.6,2436.32,4479.51
D_DynamicRouting_Dijkstra,low_intensity,104,15.748,11839.1,3187.85,4682.45
D_DynamicRouting_Dijkstra,low_intensity,105,10.2362,9801.06,2935.34,5159.68
D_DynamicRouting_Dijkstra,medium_intensity,101,7.14286,11298.7,2816.51,4968.55
D_DynamicRouting_Dijkstra,medium_intensity,102,9.29204,10304.8,3218.2,4993.53
D_DynamicRouting_Dijkstra,medium_intensity,103,10.6557,10344.3,3730.58,4757.39
D_DynamicRouting_Dijkstra,medium_intensity,104,12.6582,9645.19,3468.82,4631.7
D_DynamicRouting_Dijkstra,medium_intensity,105,10.3306,10924.8,3003.98,5666.91
D_DynamicRouting_Dijkstra,high_intensity,101,5.56328,12820.4,2510.87,4523.18
D_DynamicRouting_Dijkstra,high_intensity,102,6.17647,9485.24,2840.4,4914.04
D_DynamicRouting_Dijkstra,high_intensity,103,5.25606,10508.2,3161.72,4533.41
D_DynamicRouting_Dijkstra,high_intensity,104,6.41562,12354.2,3578.86,5323.72
D_DynamicRouting_Dijkstra,high_intensity,105,6.02582,8800.66,3209.71,5004.02
D_DynamicRouting_Dijkstra,mass_casualty,101,3.35227,13601,5512.34,4716.76
D_DynamicRouting_Dijkstra,mass_casualty,102,3.49112,13381.4,4362.91,4727.61
D_DynamicRouting_Dijkstra,mass_casualty,103,3.082,13370,3577.3,4501.68
D_DynamicRouting_Dijkstra,mass_casualty,104,3.01003,13801.9,5138.27,4604.65
D_DynamicRouting_Dijkstra,mass_casualty,105,3.37336,12672.4,2358.44,4475.96
D_DynamicRouting_Dijkstra,extreme_surge,101,2.0119,13875.8,5944.17,5517.73
D_DynamicRouting_Dijkstra,extreme_surge,102,1.93953,13836.8,6274.08,4702.01
D_DynamicRouting_Dijkstra,extreme_surge,103,1.92678,13851.6,5648.41,4532.05
D_DynamicRouting_Dijkstra,extreme_surge,104,1.80587,13989.7,6693.5,4603.49
D_DynamicRouting_Dijkstra,extreme_surge,105,2.07493,13503.3,5249.78,4992.05
E_HubSpoke_Heuristic,low_intensity,101,10.2564,10387,3026.47,2552.08
E_HubSpoke_Heuristic,low_intensity,102,11.1111,10908.2,3270.28,2248.16
E_HubSpoke_Heuristic,low_intensity,103,10.6061,13564.6,2436.32,2322.28
E_HubSpoke_Heuristic,low_intensity,104,15.748,11839.1,3187.85,2263.61
E_HubSpoke_Heuristic,low_intensity,105,10.2362,9801.06,2935.34,2560.51
E_HubSpoke_Heuristic,medium_intensity,101,7.14286,11298.7,2816.51,2318.73
E_HubSpoke_Heuristic,medium_intensity,102,9.29204,10304.8,3218.2,2328.04
E_HubSpoke_Heuristic,medium_intensity,103,10.6557,10344.3,3730.58,2597.9
E_HubSpoke_Heuristic,medium_intensity,104,12.6582,9645.19,3468.82,2810.95
E_HubSpoke_Heuristic,medium_intensity,105,10.3306,10924.8,3003.98,2315.82
E_HubSpoke_Heuristic,high_intensity,101,5.56328,12820.4,2510.87,2268.82
E_HubSpoke_Heuristic,high_intensity,102,6.17647,9485.24,2840.4,2512.36
E_HubSpoke_Heuristic,high_intensity,103,5.25606,10508.2,3161.72,2477.8
E_HubSpoke_Heuristic,high_intensity,104,6.41562,12354.2,3578.86,2483.49
E_HubSpoke_Heuristic,high_intensity,105,6.02582,8800.66,3209.71,2346.16
E_HubSpoke_Heuristic,mass_casualty,101,3.35227,13601,5512.34,2404.57
E_HubSpoke_Heuristic,mass_casualty,102,3.49112,13381.4,4362.91,2455.16
E_HubSpoke_Heuristic,mass_casualty,103,3.082,13370,3577.3,2510.31
E_HubSpoke_Heuristic,mass_casualty,104,3.01003,13801.9,5138.27,2467.24
E_HubSpoke_Heuristic,mass_casualty,105,3.37336,12672.4,2358.44,2312.41
E_HubSpoke_Heuristic,extreme_surge,101,2.0119,13875.8,5944.17,2420.32
E_HubSpoke_Heuristic,extreme_surge,102,1.93953,13836.8,6274.08,2671.91
E_HubSpoke_Heuristic,extreme_surge,103,1.92678,13851.6,5648.41,2424.12
E_HubSpoke_Heuristic,extreme_surge,104,1.80587,13989.7,6693.5,2713.64
E_HubSpoke_Heuristic,extreme_surge,105,2.07493,13503.3,5249.78,2343.21
