Strategy,Scenario,TickRate,Seed,StepTimeNs,Stability,LeftWingHealth,EngineHealth,WingSevered
C_OBBHitboxes_Cascading,engine_fire_cascade,20,2,137.15,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,engine_fire_cascade,20,3,137.40,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,engine_fire_cascade,20,4,137.35,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,20,0,135.80,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,20,1,136.44,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,20,2,136.65,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,20,3,165.85,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,high_g_maneuver_snapping,20,4,136.45,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,hydraulics_failure,20,0,138.75,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,hydraulics_failure,20,1,138.00,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,hydraulics_failure,20,2,138.20,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,hydraulics_failure,20,3,171.40,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,hydraulics_failure,20,4,139.90,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,20,0,137.90,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,20,1,137.80,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,20,2,137.90,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,20,3,137.65,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,20,4,137.90,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,20,0,377.25,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,20,1,359.10,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,20,2,360.15,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,20,3,358.94,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,20,4,359.95,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,20,0,355.30,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,20,1,356.65,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,20,2,355.25,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,20,3,357.05,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,20,4,356.15,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,20,0,379.65,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,20,1,357.24,0,0.0000,1.0000,1
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,20,2,356.55,0,0.0000,1.0000,1
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,20,3,356.21,0,0.0000,1.0000,1
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,20,4,356.55,0,0.0000,1.0000,1
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,20,0,359.05,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,20,1,358.60,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,20,2,358.25,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,20,3,357.95,1,1.0000,1.0000,0
