Strategy,BldgType,Seed,Mean_ns,Median_ns,P95_ns,P99_ns,StdDev_ns,Min_ns,Max_ns,Plausibility,Components,Walls,Roof,Floor,Doors,Windows
C_GrammarRuleBased,residential_1storey,7,50543.2,46020,79540,85839,10629.1,45340,90840,0.761111,1,67,88,88,1,0
C_GrammarRuleBased,residential_1storey,42,65297.8,61779,93270,111170,10389.7,60940,118079,0.774588,1,118,119,120,1,1
C_GrammarRuleBased,residential_1storey,1234,52708.8,49140,78720,90070,9306.48,48490,95669,0.76875,1,71,99,99,1,0
C_GrammarRuleBased,residential_1storey,31337,79084.6,72930,120090,132239,14880.2,71789,138270,0.800245,1,136,156,156,1,1
C_GrammarRuleBased,residential_2storey,1,101965,95660,142690,171259,16136.7,94509,175839,0.794519,1,262,110,220,1,3
C_GrammarRuleBased,residential_2storey,7,80388.3,73410,123340,133930,15858.8,72590,140230,0.77159,1,167,88,176,1,2
C_GrammarRuleBased,residential_2storey,42,112980,101980,173780,185039,22892.9,100739,190780,0.800755,1,276,119,240,1,3
C_GrammarRuleBased,residential_2storey,1234,89048.7,82729,131270,150220,15048.3,81499,157810,0.768985,1,213,99,198,1,2
C_GrammarRuleBased,residential_2storey,31337,129235,120149,189309,211689,21194.3,118559,220409,0.826415,1,318,156,312,1,3
C_GrammarRuleBased,industrial_warehouse,1,187152,173949,269139,302119,30012,170169,311989,0.933485,1,439,380,380,1,4
C_GrammarRuleBased,industrial_warehouse,7,148617,139810,206489,245569,22254.4,138060,250859,0.900181,1,277,342,342,1,2
C_GrammarRuleBased,industrial_warehouse,42,192250,180019,269859,308529,28523.3,177430,326349,0.933481,1,451,400,400,1,4
C_GrammarRuleBased,industrial_warehouse,1234,160163,149110,224439,259039,24484.8,146970,268619,0.915173,1,346,342,342,1,3
C_GrammarRuleBased,industrial_warehouse,31337,213692,199059,310489,344799,34351,196019,356439,0.93347,1,487,460,460,1,4
C_GrammarRuleBased,military_bunker,1,70365.9,65580,104459,121829,12501.1,64810,136329,0.725,1,102,72,144,1,1
C_GrammarRuleBased,military_bunker,7,43386.4,39930,69460,73750,8561.8,39120,78639,0.4375,1,0,54,107,1,0
C_GrammarRuleBased,military_bunker,42,65748.1,61290,97499,110860,11491.3,60519,116400,0.740494,1,154,70,70,1,1
C_GrammarRuleBased,military_bunker,1234,51818.9,47320,80740,85989,10320.8,46630,96220,0.7095,1,43,54,108,1,0
C_GrammarRuleBased,military_bunker,31337,73946,70900,92280,127070,10125.4,70089,131259,0.754354,1,178,90,90,1,1
C_GrammarRuleBased,command_post,1,139741,132240,189410,229889,19874.5,130410,242719,0.791667,1,249,156,312,1,2
C_GrammarRuleBased,command_post,7,98309.3,88339,151229,160750,20159,86710,169139,0.790278,1,75,130,260,1,0
C_GrammarRuleBased,command_post,42,131328,121599,195349,218689,22587,119939,229079,0.81681,1,349,168,168,1,2
C_GrammarRuleBased,command_post,1234,118439,109040,178650,196889,21763,107660,204609,0.774306,1,158,143,286,1,1
C_GrammarRuleBased,command_post,31337,147793,140230,190179,249889,20686.4,138470,256429,0.845959,1,397,210,210,1,2
D_NoiseGuided_FloorPlan,residential_1storey,1,68544.7,62530,104889,113570,13533.2,61540,121330,0.844613,1,107,110,110,1,8
D_NoiseGuided_FloorPlan,residential_1storey,7,54033.2,49990,83820,90870,10257.4,49480,97870,0.836111,1,64,88,88,1,3
D_NoiseGuided_FloorPlan,residential_1storey,42,72587.2,66610,108369,120189,13501.2,65750,124920,0.750813,1,123,120,120,1,0
D_NoiseGuided_FloorPlan,residential_1storey,1234,58449.4,54890,88259,101400,10298.7,54200,109659,0.76875,1,71,99,99,1,0
D_NoiseGuided_FloorPlan,residential_1storey,31337,85802,81769,115680,147169,12486.5,80980,157019,0.877899,1,138,156,156,1,8
D_NoiseGuided_FloorPlan,residential_2storey,1,94400.9,88629,136519,158509,15245.1,87670,163859,0.801813,1,295,110,110,1,12
D_NoiseGuided_FloorPlan,residential_2storey,7,71476.7,68010,99059,123090,10882.9,67180,129810,0.795647,1,194,88,88,1,9
D_NoiseGuided_FloorPlan,residential_2storey,42,102428,93380,157390,168159,19899.3,92330,174289,0.707492,1,327,120,120,1,0
D_NoiseGuided_FloorPlan,residential_2storey,1234,83757.7,79560,111789,143819,12010.3,78790,149970,0.696377,3,257,99,99,1,0
D_NoiseGuided_FloorPlan,residential_2storey,31337,119887,112570,171719,201659,19196.1,110760,212240,0.83273,1,373,156,156,1,12
D_NoiseGuided_FloorPlan,industrial_warehouse,1,199948,187359,279449,322249,29967.6,182129,330769,0.935332,3,467,380,380,1,12
D_NoiseGuided_FloorPlan,industrial_warehouse,7,159891,148319,228999,257989,25811.3,145400,271239,0.948214,2,280,342,342,1,12
D_NoiseGuided_FloorPlan,industrial_warehouse,42,205045,192369,298049,331829,31391.7,187510,346389,0.935095,3,473,400,400,1,12
D_NoiseGuided_FloorPlan,industrial_warehouse,1234,175840,158219,253769,288319,36792.9,152470,557278,0.939714,3,350,342,342,1,6
D_NoiseGuided_FloorPlan,industrial_warehouse,31337,248835,218849,369319,444838,58084.3,206560,718098,0.934563,3,515,460,460,1,6
D_NoiseGuided_FloorPlan,military_bunker,1,59676.5,53609,91139,108430,14943.5,47600,179739,0.817901,1,81,72,72,1,8
D_NoiseGuided_FloorPlan,military_bunker,7,43085.2,36520,63360,77559,16338.7,35350,471568,0.6375,1,25,54,54,1,0
D_NoiseGuided_FloorPlan,military_bunker,42,54895.9,49020,86730,89649,12034.3,48350,98789,0.714903,1,89,70,70,1,0
D_NoiseGuided_FloorPlan,military_bunker,1234,48964.1,41650,76230,94140,12304,39939,99680,0.7375,1,51,54,54,1,0
D_NoiseGuided_FloorPlan,military_bunker,31337,65815.4,58680,102640,108570,14171.5,57979,112710,0.830817,1,101,90,90,1,4
D_NoiseGuided_FloorPlan,command_post,1,90538.1,83630,134959,151149,16414.6,82579,166720,0.857772,1,178,156,156,1,9
D_NoiseGuided_FloorPlan,command_post,7,68352.1,63040,102610,113640,12533.8,62110,120620,0.890278,1,79,130,130,1,4
D_NoiseGuided_FloorPlan,command_post,42,101154,89470,148369,161009,19957.4,86649,212229,0.865358,1,191,168,168,1,6
D_NoiseGuided_FloorPlan,command_post,1234,89693.5,76630,136010,162330,25609,74600,457909,0.76647,1,134,143,143,1,0
D_NoiseGuided_FloorPlan,command_post,31337,121185,105300,178539,204839,28882.5,102429,473288,0.89376,2,217,210,210,1,9
E_Hybrid_GrammarPlusNoise,residential_1storey,1,71224.2,64150,111010,122069,15360.6,63100,135000,0.767017,1,121,109,110,1,2
E_Hybrid_GrammarPlusNoise,residential_1storey,7,53396.1,50350,78560,92179,8750.45,49820,98190,0.749306,1,72,87,88,1,1
E_Hybrid_GrammarPlusNoise,residential_1storey,42,74994,68730,117160,127640,14530.9,67540,133690,0.777083,1,126,119,120,1,2
E_Hybrid_GrammarPlusNoise,residential_1storey,1234,58518.7,54690,91460,103079,10821.4,53720,112290,0.754389,1,75,98,99,1,1
E_Hybrid_GrammarPlusNoise,residential_1storey,31337,89971.3,80960,140890,150069,18465.2,79519,155109,0.800296,1,143,155,156,1,2
E_Hybrid_GrammarPlusNoise,residential_2storey,1,147353,138430,202789,230430,20830.3,136239,236249,0.783547,1,347,109,220,1,3
E_Hybrid_GrammarPlusNoise,residential_2storey,7,100584,91960,153109,164099,19055.1,90150,169529,0.786917,1,200,87,176,1,3
E_Hybrid_GrammarPlusNoise,residential_2storey,42,177248,165579,248409,267909,27523,156849,299289,0.76459,1,410,119,240,1,2
E_Hybrid_GrammarPlusNoise,residential_2storey,1234,138365,130890,184379,215599,18139.1,128720,220159,0.755069,1,308,98,198,1,2
E_Hybrid_GrammarPlusNoise,residential_2storey,31337,200917,188819,278810,301569,27239.9,185460,312599,0.789621,1,444,155,312,1,2
E_Hybrid_GrammarPlusNoise,industrial_warehouse,1,225105,215959,307969,338729,28516.3,203559,357518,0.921444,1,457,380,380,1,5
