2026-06-21-electronic-warfare-jamming — prototype benchmark
C++26 CPU analytical model; Clang -O3 -march=native target
5 strategies x 5 scenes x 5 seeds x 1000 iter = 125,000 main measurements

[B_NoiseBarrage] [strike_package_5a3j_escort] seed=5: wall=272.8 ns, det=15.0%, comms=0.4%, bt=83 m, pwr=75.00 W, ft=0.0
[B_NoiseBarrage] [ground_force_defense_10j5r] seed=1: wall=629.6 ns, det=15.0%, comms=11.9%, bt=107 m, pwr=100.00 W, ft=0.0
[B_NoiseBarrage] [ground_force_defense_10j5r] seed=2: wall=649.0 ns, det=15.0%, comms=9.1%, bt=107 m, pwr=100.00 W, ft=0.0
[B_NoiseBarrage] [ground_force_defense_10j5r] seed=3: wall=660.6 ns, det=15.0%, comms=10.9%, bt=107 m, pwr=100.00 W, ft=0.0
[B_NoiseBarrage] [ground_force_defense_10j5r] seed=4: wall=646.8 ns, det=15.0%, comms=7.9%, bt=107 m, pwr=100.00 W, ft=0.0
[B_NoiseBarrage] [ground_force_defense_10j5r] seed=5: wall=674.2 ns, det=15.0%, comms=4.9%, bt=107 m, pwr=100.00 W, ft=0.0
[B_NoiseBarrage] [ew_duel_2j2r_freq_agile] seed=1: wall=174.3 ns, det=15.0%, comms=0.1%, bt=75 m, pwr=32.00 W, ft=0.0
[B_NoiseBarrage] [ew_duel_2j2r_freq_agile] seed=2: wall=275.7 ns, det=15.0%, comms=0.1%, bt=75 m, pwr=32.00 W, ft=0.0
[B_NoiseBarrage] [ew_duel_2j2r_freq_agile] seed=3: wall=189.0 ns, det=15.0%, comms=0.1%, bt=75 m, pwr=32.00 W, ft=0.0
[B_NoiseBarrage] [ew_duel_2j2r_freq_agile] seed=4: wall=145.5 ns, det=15.0%, comms=0.1%, bt=75 m, pwr=32.00 W, ft=0.0
[B_NoiseBarrage] [ew_duel_2j2r_freq_agile] seed=5: wall=146.6 ns, det=15.0%, comms=0.1%, bt=75 m, pwr=32.00 W, ft=0.0
