strategy,scene,seed,num_units,ticks,mean_ns_per_unit_per_tick,median_ns_per_unit_per_tick,p95_ns_per_unit_per_tick,p99_ns_per_unit_per_tick,std_ns_per_unit_per_tick,total_ms,total_decisions
B_BT_RunningMemory,combined_arms,31337,256,400,205.554,204.972,228.72,239.15,13.7284,26.3898,102400
C_Hierarchical_3Tier,recon_patrol,1,8,1500,285.061,285.061,285.061,285.061,0,3.80906,1500
C_Hierarchical_3Tier,recon_patrol,7,8,1500,286.254,286.254,286.254,286.254,0,3.83701,1500
C_Hierarchical_3Tier,recon_patrol,42,8,1500,283.547,283.547,283.547,283.547,0,3.79254,1500
C_Hierarchical_3Tier,recon_patrol,1234,8,1500,286.068,286.068,286.068,286.068,0,3.84958,1500
C_Hierarchical_3Tier,recon_patrol,31337,8,1500,335.683,335.683,335.683,335.683,0,4.52431,1500
C_Hierarchical_3Tier,platoon_attack,1,32,1000,280.724,280.724,280.724,280.724,1.13687e-13,10.2348,1000
C_Hierarchical_3Tier,platoon_attack,7,32,1000,264.156,264.156,264.156,264.156,1.13687e-13,9.45456,1000
C_Hierarchical_3Tier,platoon_attack,42,32,1000,264.651,264.651,264.651,264.651,0,9.42736,1000
C_Hierarchical_3Tier,platoon_attack,1234,32,1000,270.467,270.467,270.467,270.467,5.68434e-14,9.72923,1000
C_Hierarchical_3Tier,platoon_attack,31337,32,1000,284.914,284.914,284.914,284.914,5.68434e-14,10.3652,1000
C_Hierarchical_3Tier,company_advance,1,128,600,252.103,252.103,252.103,252.103,3.97904e-13,22.3537,600
C_Hierarchical_3Tier,company_advance,7,128,600,237.74,237.74,237.74,237.74,3.97904e-13,20.6997,600
C_Hierarchical_3Tier,company_advance,42,128,600,260.127,260.127,260.127,260.127,3.41061e-13,22.684,600
C_Hierarchical_3Tier,company_advance,1234,128,600,252.698,252.698,252.698,252.698,6.82121e-13,22.1567,600
C_Hierarchical_3Tier,company_advance,31337,128,600,243.91,243.91,243.91,243.91,8.52651e-13,21.2714,600
C_Hierarchical_3Tier,urban_clear,1,64,800,265.263,265.263,265.263,265.263,1.13687e-13,15.3857,800
C_Hierarchical_3Tier,urban_clear,7,64,800,284.528,284.528,284.528,284.528,1.13687e-13,16.3198,800
C_Hierarchical_3Tier,urban_clear,42,64,800,290.87,290.87,290.87,290.87,1.13687e-13,16.813,800
C_Hierarchical_3Tier,urban_clear,1234,64,800,274.719,274.719,274.719,274.719,2.27374e-13,15.7885,800
C_Hierarchical_3Tier,urban_clear,31337,64,800,252.751,252.751,252.751,252.751,5.68434e-14,14.4819,800
C_Hierarchical_3Tier,combined_arms,1,256,400,198.028,198.028,198.028,198.028,7.38964e-13,23.4587,400
C_Hierarchical_3Tier,combined_arms,7,256,400,208.283,208.283,208.283,208.283,4.54747e-13,24.7557,400
C_Hierarchical_3Tier,combined_arms,42,256,400,210.268,210.268,210.268,210.268,8.2423e-13,24.8998,400
C_Hierarchical_3Tier,combined_arms,1234,256,400,196.336,196.336,196.336,196.336,4.54747e-13,23.2001,400
C_Hierarchical_3Tier,combined_arms,31337,256,400,195.652,195.652,195.652,195.652,4.54747e-13,23.1108,400
D_EventDriven,recon_patrol,1,8,1500,255.872,257.419,260.957,260.957,3.10532,3.63769,12000
