strategy,scene,op,mean_us,median_us,p95_us,n,bytes
C_ChunkedBinary_Zstd,medium_world,mutate_save_0,9687.17,9853.04,10775.87,5,710151
C_ChunkedBinary_Zstd,medium_world,save,5228.69,5167.97,5568.64,5,710151
C_ChunkedBinary_Zstd,medium_world,verify,30.18,29.88,33.56,5,0
C_ChunkedBinary_Zstd,realistic_combat,delta_load,1988.15,2005.21,2149.58,5,1058881
C_ChunkedBinary_Zstd,realistic_combat,load,1757.04,1746.55,1940.82,5,1058881
C_ChunkedBinary_Zstd,realistic_combat,mutate_save_0,10197.53,9762.38,12125.42,5,1058881
C_ChunkedBinary_Zstd,realistic_combat,save,6300.09,6247.55,6566.77,5,1058881
C_ChunkedBinary_Zstd,realistic_combat,verify,38.83,37.25,51.39,5,0
C_ChunkedBinary_Zstd,small_world,delta_load,402.50,405.58,409.86,5,153650
C_ChunkedBinary_Zstd,small_world,load,466.92,444.69,556.81,5,153650
C_ChunkedBinary_Zstd,small_world,mutate_save_0,2275.69,2129.90,2581.43,5,153650
C_ChunkedBinary_Zstd,small_world,save,1385.70,1451.53,1535.52,5,153650
C_ChunkedBinary_Zstd,small_world,verify,4.33,4.11,5.11,5,0
D_VersionedChunked_Delta_LZ4,adaptive_scaling,delta_load,2247.00,2245.06,2410.84,5,705426
D_VersionedChunked_Delta_LZ4,adaptive_scaling,load,1980.03,2040.74,2067.34,5,705426
D_VersionedChunked_Delta_LZ4,adaptive_scaling,mutate_save_0,8615.16,8338.28,10018.99,5,705426
D_VersionedChunked_Delta_LZ4,adaptive_scaling,save,5392.30,5195.37,6010.84,5,705426
D_VersionedChunked_Delta_LZ4,adaptive_scaling,verify,33.39,32.46,38.10,5,0
D_VersionedChunked_Delta_LZ4,large_world,delta_load,5547.07,5867.90,6017.24,5,1932689
D_VersionedChunked_Delta_LZ4,large_world,load,5374.00,5254.43,6043.35,5,1932689
D_VersionedChunked_Delta_LZ4,large_world,mutate_save_0,19801.18,20647.72,20930.80,5,1932689
D_VersionedChunked_Delta_LZ4,large_world,save,15148.57,15347.82,16483.64,5,1932689
D_VersionedChunked_Delta_LZ4,large_world,verify,98.76,91.05,136.01,5,0
D_VersionedChunked_Delta_LZ4,medium_world,delta_load,2064.74,1978.72,2617.25,5,705426
D_VersionedChunked_Delta_LZ4,medium_world,load,1983.33,1997.17,2200.50,5,705426
D_VersionedChunked_Delta_LZ4,medium_world,mutate_save_0,7882.50,7879.90,8290.99,5,705426
D_VersionedChunked_Delta_LZ4,medium_world,save,4865.83,4813.38,5163.76,5,705426
D_VersionedChunked_Delta_LZ4,medium_world,verify,34.74,32.56,45.72,5,0
D_VersionedChunked_Delta_LZ4,realistic_combat,delta_load,1983.83,1953.60,2081.13,5,1036628
D_VersionedChunked_Delta_LZ4,realistic_combat,load,1869.65,1854.49,2204.51,5,1036628
D_VersionedChunked_Delta_LZ4,realistic_combat,mutate_save_0,8134.02,8018.70,9324.23,5,1036628
D_VersionedChunked_Delta_LZ4,realistic_combat,save,5679.77,5629.35,5867.48,5,1036628
D_VersionedChunked_Delta_LZ4,realistic_combat,verify,37.54,37.41,39.11,5,0
D_VersionedChunked_Delta_LZ4,small_world,delta_load,420.42,386.52,556.10,5,153006
D_VersionedChunked_Delta_LZ4,small_world,load,410.95,377.00,529.47,5,153006
D_VersionedChunked_Delta_LZ4,small_world,mutate_save_0,2106.79,2140.02,2429.57,5,153006
D_VersionedChunked_Delta_LZ4,small_world,save,1149.16,1088.59,1337.92,5,153006
D_VersionedChunked_Delta_LZ4,small_world,verify,4.24,4.17,4.79,5,0
E_ContentAddressed_Dedupe,adaptive_scaling,delta_load,7730.84,7618.53,8700.64,5,52372
E_ContentAddressed_Dedupe,adaptive_scaling,load,8903.56,8938.45,9942.88,5,52372
E_ContentAddressed_Dedupe,adaptive_scaling,mutate_save_0,2799.67,2782.80,2953.08,5,52372
E_ContentAddressed_Dedupe,adaptive_scaling,save,26197.42,26845.12,28308.51,5,52372
E_ContentAddressed_Dedupe,adaptive_scaling,verify,46.53,39.43,63.11,5,0
E_ContentAddressed_Dedupe,large_world,delta_load,21247.25,21858.34,22649.28,5,143060
E_ContentAddressed_Dedupe,large_world,load,24757.74,25570.95,26821.78,5,143060
E_ContentAddressed_Dedupe,large_world,mutate_save_0,7969.10,8363.36,8649.89,5,143060
E_ContentAddressed_Dedupe,large_world,save,72948.26,72576.19,77091.72,5,143060
E_ContentAddressed_Dedupe,large_world,verify,140.02,142.29,163.41,5,0
E_ContentAddressed_Dedupe,medium_world,delta_load,7296.32,6662.14,8974.17,5,52372
E_ContentAddressed_Dedupe,medium_world,load,8701.49,8695.17,9875.19,5,52372
E_ContentAddressed_Dedupe,medium_world,mutate_save_0,2913.68,2899.99,3315.28,5,52372
