strategy,scene,seed,iter,op,us,bytes,ok
E_ContentAddressed_Dedupe,small_world,42,0,delta_load,1385.36,11604,1
A_FullJSON_SingleFile,small_world,1234,0,save,2552.45,330150,1
A_FullJSON_SingleFile,small_world,1234,0,load,844.39,330150,1
A_FullJSON_SingleFile,small_world,1234,0,verify,3.94,0,1
A_FullJSON_SingleFile,small_world,1234,0,mutate_save_0,3920.36,330150,1
A_FullJSON_SingleFile,small_world,1234,0,delta_load,774.68,330150,1
B_ChunkedBinary_Raw,small_world,1234,0,save,392.37,231048,1
B_ChunkedBinary_Raw,small_world,1234,0,load,96.49,231048,1
B_ChunkedBinary_Raw,small_world,1234,0,verify,4.66,0,1
B_ChunkedBinary_Raw,small_world,1234,0,mutate_save_0,1601.72,231048,1
B_ChunkedBinary_Raw,small_world,1234,0,delta_load,155.49,231048,1
C_ChunkedBinary_Zstd,small_world,1234,0,save,1451.53,152858,1
C_ChunkedBinary_Zstd,small_world,1234,0,load,524.74,152858,1
C_ChunkedBinary_Zstd,small_world,1234,0,verify,3.88,0,1
C_ChunkedBinary_Zstd,small_world,1234,0,mutate_save_0,2465.90,152858,1
C_ChunkedBinary_Zstd,small_world,1234,0,delta_load,405.70,152858,1
D_VersionedChunked_Delta_LZ4,small_world,1234,0,save,1337.92,152211,1
D_VersionedChunked_Delta_LZ4,small_world,1234,0,load,529.47,152211,1
D_VersionedChunked_Delta_LZ4,small_world,1234,0,verify,4.79,0,1
D_VersionedChunked_Delta_LZ4,small_world,1234,0,mutate_save_0,2429.57,152211,1
D_VersionedChunked_Delta_LZ4,small_world,1234,0,delta_load,556.10,152211,1
E_ContentAddressed_Dedupe,small_world,1234,0,save,6461.92,11604,1
E_ContentAddressed_Dedupe,small_world,1234,0,load,1654.40,11604,1
E_ContentAddressed_Dedupe,small_world,1234,0,verify,3.81,0,1
E_ContentAddressed_Dedupe,small_world,1234,0,mutate_save_0,625.07,11604,1
E_ContentAddressed_Dedupe,small_world,1234,0,delta_load,1329.39,11604,1
A_FullJSON_SingleFile,small_world,31337,0,save,2460.18,331740,1
A_FullJSON_SingleFile,small_world,31337,0,load,1036.44,331740,1
A_FullJSON_SingleFile,small_world,31337,0,verify,3.71,0,1
A_FullJSON_SingleFile,small_world,31337,0,mutate_save_0,4108.33,331740,1
A_FullJSON_SingleFile,small_world,31337,0,delta_load,610.16,331740,1
B_ChunkedBinary_Raw,small_world,31337,0,save,273.72,231048,1
