strategy,scene,seed,psnr_density_db,match_rate,time_us
D_Trilerp_4,mountains,7,35.400153,1.000000,7.256870
D_Trilerp_4,mountains,42,34.171348,1.000000,8.060470
D_Trilerp_4,mountains,1234,32.516630,1.000000,9.667260
D_Trilerp_4,mountains,31337,33.221386,1.000000,10.399060
D_Trilerp_4,cave_system,1,24.874661,1.000000,10.121960
D_Trilerp_4,cave_system,7,23.847810,1.000000,9.620160
D_Trilerp_4,cave_system,42,24.755012,1.000000,6.456770
D_Trilerp_4,cave_system,1234,23.538088,1.000000,6.376980
D_Trilerp_4,cave_system,31337,24.141468,1.000000,6.373380
D_Trilerp_4,island,1,39.822677,1.000000,6.776570
D_Trilerp_4,island,7,43.132417,0.996094,10.161360
D_Trilerp_4,island,42,40.678234,1.000000,10.309160
D_Trilerp_4,island,1234,42.953488,1.000000,9.604060
D_Trilerp_4,island,31337,41.994290,1.000000,9.367460
E_Spline_2,flat_plains,1,-14.867232,0.917969,9.116060
E_Spline_2,flat_plains,7,-3.950025,0.500000,7.038480
E_Spline_2,flat_plains,42,-17.266322,0.593750,8.080780
E_Spline_2,flat_plains,1234,-7.035353,0.472656,8.244370
E_Spline_2,flat_plains,31337,-7.975153,0.947266,8.211170
E_Spline_2,rolling_hills,1,-14.841081,0.666016,8.926460
E_Spline_2,rolling_hills,7,-21.314296,0.523438,9.283270
E_Spline_2,rolling_hills,42,-25.995403,0.541016,7.545970
E_Spline_2,rolling_hills,1234,-20.157956,0.744141,5.790580
E_Spline_2,rolling_hills,31337,-13.364604,0.740234,6.656370
E_Spline_2,mountains,1,-14.974414,0.726562,8.614470
E_Spline_2,mountains,7,-29.881417,0.773438,6.360970
E_Spline_2,mountains,42,-22.814855,0.568359,6.646170
E_Spline_2,mountains,1234,-24.377000,0.763672,6.315980
E_Spline_2,mountains,31337,-18.715685,0.609375,6.747070
E_Spline_2,cave_system,1,-40.272650,0.527344,6.863470
E_Spline_2,cave_system,7,-33.260387,0.691406,6.467780
E_Spline_2,cave_system,42,-43.030661,0.519531,6.476680
E_Spline_2,cave_system,1234,-33.262016,0.767578,7.388270
E_Spline_2,cave_system,31337,-36.498326,0.904297,9.384660
E_Spline_2,island,1,-18.442810,0.851562,8.277570
E_Spline_2,island,7,-11.994712,0.710938,5.608480
E_Spline_2,island,42,-19.185298,0.681641,5.662280
E_Spline_2,island,1234,-11.581864,0.611328,6.276080
E_Spline_2,island,31337,-13.955774,0.746094,6.973070
