strategy,scene,seed,frames,warmup,mean_us,median_us,p95_us,p99_us,stddev_us,min_us,max_us,conservation_violations,fluid_before,fluid_after,atomic_ops_count
A_AtomicOr_Blind,empty,0,50,5,7.57056,7.136,14.656,15.84,1.91607,6.496,15.84,0,0,0,0
B_CAS,empty,0,50,5,7.06304,7.072,7.584,7.84,0.325712,6.368,7.84,0,0,0,0
C_SharedMem_2Stage,empty,0,50,5,7.67296,7.712,8.032,12.032,0.707143,6.624,12.032,0,0,0,0
D_SubgroupBallot,empty,0,50,5,7.02784,7.072,7.552,7.616,0.305052,6.432,7.616,0,0,0,0
E_HierLock,empty,0,50,5,0,0,0,0,0,0,0,0,0,0,0
F_Checkerboard,empty,0,50,5,0,0,0,0,0,0,0,0,0,0,0
