scene,unique_types,strategy,seed,bytes,lookup_ns,mutate_ns
mixed_biome,20,C_SingleStateOpt,1,360.0,0.11,0.00
mixed_biome,20,D_Direct8,1,552.0,0.40,34.42
mixed_biome,20,A_Fixed16,2,1024.0,0.26,0.00
mixed_biome,20,B_AdaptivePalette,2,360.0,1.19,34.26
mixed_biome,20,C_SingleStateOpt,2,360.0,0.11,0.00
mixed_biome,20,D_Direct8,2,552.0,0.39,29.84
mixed_biome,20,A_Fixed16,3,1024.0,0.26,0.00
mixed_biome,20,B_AdaptivePalette,3,360.0,1.21,36.17
mixed_biome,20,C_SingleStateOpt,3,360.0,0.14,0.00
mixed_biome,20,D_Direct8,3,552.0,0.72,42.97
mixed_biome,20,A_Fixed16,4,1024.0,0.26,0.00
mixed_biome,20,B_AdaptivePalette,4,360.0,1.15,37.89
mixed_biome,20,C_SingleStateOpt,4,360.0,0.11,0.00
mixed_biome,20,D_Direct8,4,552.0,0.38,25.91
