Strategy,Scale,NumSoldiers,Seed,StepTimeNsPerSoldier,CasualtiesPct,AvgStamina
A_Baseline_Simple,brigade_4096,4096,1,16.05,0.00,100.00
A_Baseline_Simple,brigade_4096,4096,2,16.42,0.00,100.00
A_Baseline_Simple,brigade_4096,4096,3,16.38,0.00,100.00
A_Baseline_Simple,brigade_4096,4096,4,15.83,0.00,100.00
B_Stamina_Loadout,brigade_4096,4096,0,18.75,0.00,59.85
B_Stamina_Loadout,brigade_4096,4096,1,19.06,0.00,59.47
B_Stamina_Loadout,brigade_4096,4096,2,20.94,0.00,59.77
B_Stamina_Loadout,brigade_4096,4096,3,20.01,0.00,59.98
B_Stamina_Loadout,brigade_4096,4096,4,18.53,0.00,59.95
C_Stamina_LimbDamage,brigade_4096,4096,0,25.88,0.00,53.63
C_Stamina_LimbDamage,brigade_4096,4096,1,26.83,0.00,53.21
C_Stamina_LimbDamage,brigade_4096,4096,2,28.53,0.00,53.52
C_Stamina_LimbDamage,brigade_4096,4096,3,24.89,0.00,53.67
C_Stamina_LimbDamage,brigade_4096,4096,4,25.06,0.00,53.72
D_Stamina_LimbDamage_Medical,brigade_4096,4096,0,31.62,0.00,59.15
D_Stamina_LimbDamage_Medical,brigade_4096,4096,1,30.03,0.00,58.75
D_Stamina_LimbDamage_Medical,brigade_4096,4096,2,30.14,0.00,59.05
D_Stamina_LimbDamage_Medical,brigade_4096,4096,3,30.48,0.00,59.26
D_Stamina_LimbDamage_Medical,brigade_4096,4096,4,30.22,0.00,59.24
E_Vectorized_SoA,brigade_4096,4096,0,15.48,0.00,81.82
E_Vectorized_SoA,brigade_4096,4096,1,17.51,0.00,81.76
E_Vectorized_SoA,brigade_4096,4096,2,16.72,0.00,81.51
E_Vectorized_SoA,brigade_4096,4096,3,15.17,0.00,81.49
E_Vectorized_SoA,brigade_4096,4096,4,16.99,0.00,81.72
A_Baseline_Simple,division_16384,16384,0,15.90,0.00,100.00
A_Baseline_Simple,division_16384,16384,1,18.08,0.00,100.00
A_Baseline_Simple,division_16384,16384,2,16.99,0.00,100.00
A_Baseline_Simple,division_16384,16384,3,16.30,0.00,100.00
A_Baseline_Simple,division_16384,16384,4,16.00,0.00,100.00
B_Stamina_Loadout,division_16384,16384,0,19.94,0.00,59.75
B_Stamina_Loadout,division_16384,16384,1,20.63,0.00,59.83
B_Stamina_Loadout,division_16384,16384,2,20.89,0.00,59.77
B_Stamina_Loadout,division_16384,16384,3,19.51,0.00,59.82
B_Stamina_Loadout,division_16384,16384,4,19.89,0.00,60.03
C_Stamina_LimbDamage,division_16384,16384,0,26.97,0.00,53.48
C_Stamina_LimbDamage,division_16384,16384,1,25.41,0.00,53.54
C_Stamina_LimbDamage,division_16384,16384,2,27.42,0.00,53.56
C_Stamina_LimbDamage,division_16384,16384,3,25.94,0.00,53.50
C_Stamina_LimbDamage,division_16384,16384,4,25.53,0.00,53.75
D_Stamina_LimbDamage_Medical,division_16384,16384,0,32.26,0.00,59.04
D_Stamina_LimbDamage_Medical,division_16384,16384,1,31.59,0.00,59.12
D_Stamina_LimbDamage_Medical,division_16384,16384,2,31.19,0.00,59.06
D_Stamina_LimbDamage_Medical,division_16384,16384,3,31.33,0.00,59.10
D_Stamina_LimbDamage_Medical,division_16384,16384,4,31.22,0.00,59.31
E_Vectorized_SoA,division_16384,16384,0,15.88,0.00,81.88
E_Vectorized_SoA,division_16384,16384,1,18.15,0.00,81.69
E_Vectorized_SoA,division_16384,16384,2,15.38,0.00,81.74
E_Vectorized_SoA,division_16384,16384,3,15.69,0.00,81.77
E_Vectorized_SoA,division_16384,16384,4,15.70,0.00,81.86
