strategy,scene,seed,mean_tick_ns,max_suppression,ticks_above_50pct,avg_accuracy_penalty,avg_movement_penalty
C_AccumulatorDecay_ARMA,artillery_barrage,3,1438.841,100.00,600.0,0.69384,0.00000
C_AccumulatorDecay_ARMA,artillery_barrage,4,1300.872,100.00,600.0,0.69366,0.00000
C_AccumulatorDecay_ARMA,close_engagement,0,366509.767,100.00,578.0,0.76947,0.00000
C_AccumulatorDecay_ARMA,close_engagement,1,363201.000,100.00,578.0,0.76951,0.00000
C_AccumulatorDecay_ARMA,close_engagement,2,362323.914,100.00,578.0,0.76944,0.00000
C_AccumulatorDecay_ARMA,close_engagement,3,345589.359,100.00,578.0,0.76936,0.00000
C_AccumulatorDecay_ARMA,close_engagement,4,353548.800,100.00,578.0,0.76935,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,0,26642.082,100.00,551.0,0.72991,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,1,25460.889,100.00,551.0,0.73002,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,2,25391.324,100.00,550.0,0.72836,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,3,24316.561,100.00,548.0,0.72720,0.00000
C_AccumulatorDecay_ARMA,mixed_intensity,4,25064.471,100.00,544.0,0.72665,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,0,3601.952,21.53,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,1,3582.320,23.28,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,2,4190.834,23.61,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,3,3192.494,23.64,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,light_suppression,4,3937.399,25.05,0.0,0.00000,0.00000
D_AccumulatorThreshold_WARNO,heavy_suppression,0,21580.042,283.25,54.0,0.85333,0.66767
D_AccumulatorThreshold_WARNO,heavy_suppression,1,19405.310,299.70,57.0,0.85083,0.66492
D_AccumulatorThreshold_WARNO,heavy_suppression,2,19284.868,285.70,54.0,0.85333,0.66767
D_AccumulatorThreshold_WARNO,heavy_suppression,3,19492.960,288.45,54.0,0.85333,0.66767
D_AccumulatorThreshold_WARNO,heavy_suppression,4,18593.223,289.34,54.0,0.85333,0.66767
D_AccumulatorThreshold_WARNO,artillery_barrage,0,1761.464,263.61,240.0,0.21500,0.09400
D_AccumulatorThreshold_WARNO,artillery_barrage,1,1556.782,263.35,240.0,0.21542,0.09425
D_AccumulatorThreshold_WARNO,artillery_barrage,2,1562.916,263.46,240.0,0.21458,0.09375
D_AccumulatorThreshold_WARNO,artillery_barrage,3,1845.799,263.64,240.0,0.21458,0.09375
D_AccumulatorThreshold_WARNO,artillery_barrage,4,1811.339,263.65,240.0,0.21375,0.09325
D_AccumulatorThreshold_WARNO,close_engagement,0,30960.416,275.96,24.0,0.93417,0.73983
D_AccumulatorThreshold_WARNO,close_engagement,1,31458.410,277.51,24.0,0.93417,0.73983
D_AccumulatorThreshold_WARNO,close_engagement,2,31357.414,276.39,24.0,0.93417,0.73983
D_AccumulatorThreshold_WARNO,close_engagement,3,30885.132,274.87,24.0,0.93417,0.73983
D_AccumulatorThreshold_WARNO,close_engagement,4,31174.956,275.97,24.0,0.93417,0.73983
D_AccumulatorThreshold_WARNO,mixed_intensity,0,14719.269,294.83,147.0,0.52250,0.37717
D_AccumulatorThreshold_WARNO,mixed_intensity,1,14582.548,295.62,147.0,0.52250,0.37717
D_AccumulatorThreshold_WARNO,mixed_intensity,2,15307.460,294.74,147.0,0.52250,0.37717
D_AccumulatorThreshold_WARNO,mixed_intensity,3,15531.727,294.50,147.0,0.52250,0.37717
D_AccumulatorThreshold_WARNO,mixed_intensity,4,15490.200,298.07,153.0,0.52750,0.37967
E_TieredHybrid_Squad,light_suppression,0,3374.393,49.24,0.0,0.19958,0.05983
E_TieredHybrid_Squad,light_suppression,1,3408.570,51.33,27.0,0.20858,0.06883
E_TieredHybrid_Squad,light_suppression,2,3409.688,51.74,35.0,0.21125,0.07150
E_TieredHybrid_Squad,light_suppression,3,3876.550,51.77,36.0,0.21158,0.07183
E_TieredHybrid_Squad,light_suppression,4,3642.356,53.46,70.0,0.22333,0.08333
E_TieredHybrid_Squad,heavy_suppression,0,98174.703,100.00,597.0,0.79600,0.59600
E_TieredHybrid_Squad,heavy_suppression,1,98808.073,100.00,597.0,0.79600,0.59600
E_TieredHybrid_Squad,heavy_suppression,2,101518.491,100.00,595.0,0.79533,0.59533
E_TieredHybrid_Squad,heavy_suppression,3,99762.871,100.00,597.0,0.79600,0.59600
E_TieredHybrid_Squad,heavy_suppression,4,98400.415,100.00,597.0,0.79600,0.59600
E_TieredHybrid_Squad,artillery_barrage,0,1522.186,100.00,600.0,0.80000,0.60000
E_TieredHybrid_Squad,artillery_barrage,1,1891.978,100.00,600.0,0.80000,0.60000
E_TieredHybrid_Squad,artillery_barrage,2,1687.890,100.00,600.0,0.80000,0.60000
E_TieredHybrid_Squad,artillery_barrage,3,1970.117,100.00,600.0,0.80000,0.60000
E_TieredHybrid_Squad,artillery_barrage,4,1882.695,100.00,600.0,0.80000,0.60000
E_TieredHybrid_Squad,close_engagement,0,346046.164,100.00,598.0,0.79833,0.59833
E_TieredHybrid_Squad,close_engagement,1,352767.068,100.00,598.0,0.79833,0.59833
E_TieredHybrid_Squad,close_engagement,2,348315.883,100.00,598.0,0.79833,0.59833
E_TieredHybrid_Squad,close_engagement,3,349550.294,100.00,598.0,0.79833,0.59833
E_TieredHybrid_Squad,close_engagement,4,355470.226,100.00,598.0,0.79833,0.59833
E_TieredHybrid_Squad,mixed_intensity,0,25707.993,100.00,565.0,0.75450,0.55800
E_TieredHybrid_Squad,mixed_intensity,1,25126.859,100.00,565.0,0.75450,0.55800
E_TieredHybrid_Squad,mixed_intensity,2,26657.151,100.00,560.0,0.75283,0.55633
E_TieredHybrid_Squad,mixed_intensity,3,24827.930,100.00,560.0,0.75083,0.55433
E_TieredHybrid_Squad,mixed_intensity,4,25514.412,100.00,560.0,0.74933,0.55283
