aos,raycast,500000,1000,42,2493049.84,2419542.00,3549279.00,4143228.00,572142.74,1442256.00,6817290.00,200.558
soa,raycast,500000,1000,42,1173388.36,1096877.00,1629206.00,2026294.00,261764.09,916757.00,4122077.00,426.116
hot,raycast,500000,1000,42,1646569.55,1492276.00,2801092.00,3973168.00,540125.51,1055827.00,5500733.00,303.662
hybrid,raycast,500000,1000,42,1326777.74,1287537.00,1771445.00,2434463.00,263792.41,954797.00,3888099.00,376.853
aos,physics,500000,1000,42,2141479.50,2075444.00,3010191.00,3633939.00,502066.10,1110217.00,5475844.00,233.483
soa,physics,500000,1000,42,599196.51,581328.00,699248.00,788157.00,48208.71,563008.00,1168526.00,834.451
hot,physics,500000,1000,42,601463.76,582208.00,721327.00,854288.00,53627.24,562258.00,925947.00,831.305
hybrid,physics,500000,1000,42,612216.39,583938.00,759797.00,883287.00,70109.06,553768.00,1089537.00,816.705
aos,cull,500000,1000,42,1468724.55,1420396.00,1818445.00,1979814.00,168564.06,1264046.00,2932581.00,340.431
soa,cull,500000,1000,42,1037048.73,1007267.00,1219286.00,1391006.00,88709.91,948187.00,1740835.00,482.137
hot,cull,500000,1000,42,1060517.90,1024267.00,1261296.00,1455605.00,108193.03,952448.00,2023714.00,471.468
hybrid,cull,500000,1000,42,1062062.80,1024387.00,1258007.00,1494476.00,126778.62,957027.00,2792822.00,470.782
aos,raycast,500000,1000,1337,2311987.42,2265993.00,3257260.00,3741829.00,511733.76,1411236.00,5042175.00,216.264
soa,raycast,500000,1000,1337,1185250.69,1146386.00,1574795.00,1777585.00,195894.93,916987.00,2157113.00,421.852
hot,raycast,500000,1000,1337,1136929.83,1086157.00,1476436.00,1711435.00,171352.75,940377.00,2360733.00,439.781
hybrid,raycast,500000,1000,1337,1055343.84,1013997.00,1305075.00,1513896.00,126499.12,920978.00,1776555.00,473.779
aos,physics,500000,1000,1337,2324078.97,2252273.00,3248251.00,3672149.00,495353.28,1220236.00,4523017.00,215.139
soa,physics,500000,1000,1337,620516.50,588808.00,766157.00,855368.00,76320.90,548339.00,1342016.00,805.780
hot,physics,500000,1000,1337,622627.31,586938.00,797287.00,902808.00,82291.30,550178.00,1261776.00,803.049
hybrid,physics,500000,1000,1337,626333.14,594738.00,789188.00,889858.00,88019.05,548018.00,1460405.00,798.297
aos,cull,500000,1000,1337,1545781.88,1491506.00,1963774.00,2411863.00,225229.90,1271347.00,3272480.00,323.461
soa,cull,500000,1000,1337,1090601.71,1052157.00,1316566.00,1502165.00,117292.32,964147.00,2040683.00,458.463
hot,cull,500000,1000,1337,1109361.96,1070817.00,1390946.00,1611295.00,142605.02,950757.00,2068694.00,450.710
hybrid,cull,500000,1000,1337,1063016.06,1025667.00,1251986.00,1524365.00,107428.36,955417.00,1959144.00,470.360
aos,raycast,500000,1000,7777,2755028.65,2712602.00,3624549.00,4097387.00,503071.38,1495855.00,5305454.00,181.486
soa,raycast,500000,1000,7777,1156230.30,1094987.00,1594825.00,1925634.00,217775.11,919927.00,3056401.00,432.440
hot,raycast,500000,1000,7777,1361025.83,1315486.00,1864535.00,2117354.00,258183.06,958277.00,2518132.00,367.370
hybrid,raycast,500000,1000,7777,1315598.19,1232076.00,1905074.00,2501653.00,300932.56,963077.00,2964311.00,380.055
aos,physics,500000,1000,7777,2743170.52,2690672.00,3609389.00,4036318.00,489693.98,1777045.00,4881895.00,182.271
soa,physics,500000,1000,7777,628193.45,599578.00,771728.00,878908.00,70971.95,555848.00,1019686.00,795.933
hot,physics,500000,1000,7777,645611.55,616338.00,805998.00,927327.00,81076.85,562808.00,1261307.00,774.460
hybrid,physics,500000,1000,7777,641419.93,601208.00,827367.00,1037847.00,99897.76,554399.00,1321027.00,779.521
aos,cull,500000,1000,7777,1773912.76,1698754.00,2404983.00,2836171.00,316203.96,1298286.00,3132800.00,281.863
soa,cull,500000,1000,7777,1189437.98,1116747.00,1623395.00,2024183.00,238798.14,936317.00,3566549.00,420.367
hot,cull,500000,1000,7777,1124682.07,1077357.00,1423476.00,1699054.00,161913.32,952357.00,2448773.00,444.570
hybrid,cull,500000,1000,7777,1185155.43,1134126.00,1516226.00,1773145.00,182775.36,963308.00,2641202.00,421.886
