=== IK First-Person Arm Benchmark ===
Strategies: 6, Scenes: 5, Seeds: 5, Warmup: 10, Iter: 1000
strategy,scene,seed,solve_time_us,iterations,position_error_cm,converged
E_FABRIK_Constrained,forward_reach,7,0.281,1.3,0.409,1000
E_FABRIK_Constrained,forward_reach,42,0.287,1.4,0.416,1000
E_FABRIK_Constrained,forward_reach,1234,0.293,1.3,0.419,1000
E_FABRIK_Constrained,forward_reach,31337,0.285,1.3,0.426,1000
E_FABRIK_Constrained,up_reach,1,0.233,1.0,0.266,1000
E_FABRIK_Constrained,up_reach,7,0.235,1.0,0.262,1000
E_FABRIK_Constrained,up_reach,42,0.225,1.0,0.268,1000
E_FABRIK_Constrained,up_reach,1234,0.226,1.0,0.269,1000
E_FABRIK_Constrained,up_reach,31337,0.222,1.0,0.259,1000
E_FABRIK_Constrained,down_reach,1,1.161,6.1,0.813,961
E_FABRIK_Constrained,down_reach,7,1.120,5.7,0.811,966
E_FABRIK_Constrained,down_reach,42,1.240,6.4,0.824,958
E_FABRIK_Constrained,down_reach,1234,1.215,6.3,0.813,954
E_FABRIK_Constrained,down_reach,31337,1.220,6.2,0.813,958
E_FABRIK_Constrained,far_side,1,0.630,3.2,0.687,999
E_FABRIK_Constrained,far_side,7,0.601,3.1,0.665,1000
E_FABRIK_Constrained,far_side,42,0.640,3.2,0.692,1000
E_FABRIK_Constrained,far_side,1234,0.546,3.1,0.687,1000
E_FABRIK_Constrained,far_side,31337,0.561,3.1,0.679,1000
E_FABRIK_Constrained,rapid_switch,1,0.309,1.5,0.290,1000
E_FABRIK_Constrained,rapid_switch,7,0.293,1.5,0.290,1000
E_FABRIK_Constrained,rapid_switch,42,0.271,1.5,0.290,1000
E_FABRIK_Constrained,rapid_switch,1234,0.291,1.5,0.290,1000
E_FABRIK_Constrained,rapid_switch,31337,0.291,1.5,0.290,1000
F_CCD_Constrained,forward_reach,1,10.084,50.0,12.584,0
F_CCD_Constrained,forward_reach,7,9.697,50.0,12.761,0
F_CCD_Constrained,forward_reach,42,10.453,50.0,12.492,0
F_CCD_Constrained,forward_reach,1234,10.589,50.0,12.590,0
F_CCD_Constrained,forward_reach,31337,9.816,50.0,12.586,0
F_CCD_Constrained,up_reach,1,10.099,50.0,15.047,0
F_CCD_Constrained,up_reach,7,10.723,50.0,15.121,0
F_CCD_Constrained,up_reach,42,10.411,50.0,14.967,0
F_CCD_Constrained,up_reach,1234,9.574,50.0,15.110,0
F_CCD_Constrained,up_reach,31337,10.055,50.0,15.168,0
F_CCD_Constrained,down_reach,1,2.438,44.7,4.134,127
F_CCD_Constrained,down_reach,7,2.553,44.5,4.138,130
F_CCD_Constrained,down_reach,42,2.488,44.1,4.008,141
F_CCD_Constrained,down_reach,1234,2.375,45.2,4.038,115
F_CCD_Constrained,down_reach,31337,2.391,45.1,4.009,117
F_CCD_Constrained,far_side,1,3.195,48.2,6.016,43
F_CCD_Constrained,far_side,7,3.224,48.7,6.174,31
F_CCD_Constrained,far_side,42,3.108,48.2,5.907,44
F_CCD_Constrained,far_side,1234,2.733,48.6,6.035,34
F_CCD_Constrained,far_side,31337,2.733,48.4,6.046,39
F_CCD_Constrained,rapid_switch,1,10.767,50.0,15.736,0
F_CCD_Constrained,rapid_switch,7,10.015,50.0,15.736,0
F_CCD_Constrained,rapid_switch,42,9.814,50.0,15.736,0
F_CCD_Constrained,rapid_switch,1234,10.278,50.0,15.736,0
F_CCD_Constrained,rapid_switch,31337,10.643,50.0,15.736,0
