strategy,scene,seed,iter,time_ns,count,components,plausibility
A_UniformRandom,uniform_stone,2,36,4900,67,42,0.0000
A_UniformRandom,uniform_stone,2,37,4370,60,47,0.0000
A_UniformRandom,uniform_stone,2,38,4040,49,37,0.0000
A_UniformRandom,uniform_stone,2,39,4860,68,40,0.0000
A_UniformRandom,uniform_stone,2,40,4020,48,38,0.0000
A_UniformRandom,uniform_stone,2,41,4390,59,43,0.0000
A_UniformRandom,uniform_stone,2,42,4610,66,47,0.0000
A_UniformRandom,uniform_stone,2,43,4380,55,39,0.0000
A_UniformRandom,uniform_stone,2,44,4239,51,34,0.0000
A_UniformRandom,uniform_stone,2,45,4770,67,41,0.0000
A_UniformRandom,uniform_stone,2,46,4800,70,46,0.0000
A_UniformRandom,uniform_stone,2,47,4430,62,44,0.0000
A_UniformRandom,uniform_stone,2,48,4460,61,44,0.0000
A_UniformRandom,uniform_stone,2,49,4800,70,45,0.0000
A_UniformRandom,uniform_stone,3,0,4290,55,36,0.0000
A_UniformRandom,uniform_stone,3,1,4720,68,49,0.0000
A_UniformRandom,uniform_stone,3,2,4620,63,46,0.0000
A_UniformRandom,uniform_stone,3,3,4930,69,37,0.0000
A_UniformRandom,uniform_stone,3,4,4630,64,40,0.0000
A_UniformRandom,uniform_stone,3,5,3810,43,34,0.0000
A_UniformRandom,uniform_stone,3,6,4530,57,36,0.0000
A_UniformRandom,uniform_stone,3,7,4260,57,41,0.0000
A_UniformRandom,uniform_stone,3,8,5120,78,53,0.0000
A_UniformRandom,uniform_stone,3,9,4400,62,51,0.0000
A_UniformRandom,uniform_stone,3,10,4630,63,41,0.0000
A_UniformRandom,uniform_stone,3,11,3920,45,35,0.0000
A_UniformRandom,uniform_stone,3,12,4320,56,35,0.0000
A_UniformRandom,uniform_stone,3,13,5070,79,46,0.0000
A_UniformRandom,uniform_stone,3,14,4160,52,38,0.0000
A_UniformRandom,uniform_stone,3,15,4720,65,42,0.0000
A_UniformRandom,uniform_stone,3,16,3730,39,30,0.0000
A_UniformRandom,uniform_stone,3,17,4020,47,38,0.0000
A_UniformRandom,uniform_stone,3,18,5300,85,51,0.0000
A_UniformRandom,uniform_stone,3,19,4450,59,42,0.0000
A_UniformRandom,uniform_stone,3,20,4640,65,42,0.0000
A_UniformRandom,uniform_stone,3,21,4190,54,42,0.0000
A_UniformRandom,uniform_stone,3,22,4380,59,45,0.0000
A_UniformRandom,uniform_stone,3,23,4100,51,37,0.0000
A_UniformRandom,uniform_stone,3,24,4630,66,42,0.0000
A_UniformRandom,uniform_stone,3,25,4930,76,54,0.0000
A_UniformRandom,uniform_stone,3,26,4280,60,50,0.0000
A_UniformRandom,uniform_stone,3,27,4340,62,47,0.0000
A_UniformRandom,uniform_stone,3,28,4300,58,45,0.0000
A_UniformRandom,uniform_stone,3,29,4420,57,40,0.0000
A_UniformRandom,uniform_stone,3,30,4430,60,48,0.0000
A_UniformRandom,uniform_stone,3,31,4360,61,49,0.0000
A_UniformRandom,uniform_stone,3,32,4570,64,40,0.0000
A_UniformRandom,uniform_stone,3,33,4680,68,49,0.0000
A_UniformRandom,uniform_stone,3,34,3940,48,43,0.0000
A_UniformRandom,uniform_stone,3,35,4870,72,49,0.0000
A_UniformRandom,uniform_stone,3,36,5030,72,42,0.0000
A_UniformRandom,uniform_stone,3,37,4640,67,43,0.0000
A_UniformRandom,uniform_stone,3,38,4170,55,43,0.0000
A_UniformRandom,uniform_stone,3,39,4270,54,35,0.0000
